symbol,price,pe,pb,market_cap,dma50,dma200,close,roe,growth,alpha
INDHOTEL,0,25,3,0,645.7460021972656,714.0037725830078,659.2999877929688,18,15,8.139999999999999
HSCL,0,25,3,0,460.65,467.39425018310544,493.54998779296875,18,15,8.139999999999999
ZENSARTECH,0,25,3,0,571.7469995117187,717.0661303710938,602.6500244140625,18,15,8.139999999999999
CONCOR,0,25,3,0,480.37973449707033,521.7645028686524,503.1000061035156,18,15,8.139999999999999
RAILTEL,0,25,3,0,299.8856918334961,347.76618125915525,335.2900085449219,18,15,8.139999999999999
DABUR,0,25,3,0,470.9490020751953,500.6768551635742,442.8500061035156,18,15,8.139999999999999
TIINDIA,0,25,3,0,2578.3863330078125,2815.9676989746094,2790.199951171875,18,15,8.139999999999999
GODREJCP,0,25,3,0,1114.7860034179687,1167.2189190673828,1109.4000244140625,18,15,8.139999999999999
PAGEIND,0,25,3,0,33175.3444921875,39209.0017578125,37975.0,18,15,8.139999999999999
PVRINOX,0,25,3,0,997.3940051269532,1049.1582516479493,937.6500244140625,18,15,8.139999999999999
ICICIGI,0,25,3,0,1846.7539892578125,1913.0909753417968,1891.5999755859375,18,15,8.139999999999999
JYOTHYLAB,0,25,3,0,232.11660095214845,290.7088790893555,238.33999633789062,18,15,8.139999999999999
DMART,0,25,3,0,3990.701982421875,4124.4774877929685,4628.5,18,15,8.139999999999999
GLAND,0,25,3,0,1753.8159985351563,1830.4362927246093,1797.4000244140625,18,15,8.139999999999999
BAJAJHLDNG,0,25,3,0,10299.05,11919.465771484374,10355.5,18,15,8.139999999999999
MTNL,0,25,3,0,28.37040008544922,38.44284996986389,33.34000015258789,18,15,8.139999999999999
POONAWALLA,0,25,3,0,426.1459991455078,454.6955001831055,413.75,18,15,8.139999999999999
HCC,0,25,3,0,17.224199981689452,23.07276442527771,19.09000015258789,18,15,8.139999999999999
MANINDS,0,25,3,0,403.14899963378906,406.0577503967285,537.0999755859375,18,15,8.139999999999999
ZYDUSLIFE,0,25,3,0,902.5020056152343,945.8574151611328,943.9500122070312,18,15,8.139999999999999
SETFNIF50,0,25,3,0,261.4191995239258,268.7843035125732,260.6099853515625,18,15,8.139999999999999
EASEMYTRIP,0,25,3,0,7.428600015640259,8.14045000076294,7.820000171661377,18,15,8.139999999999999
DEEPAKNTR,0,25,3,0,1511.7619995117188,1692.512939453125,1538.0999755859375,18,15,8.139999999999999
LALPATHLAB,0,25,3,0,1382.8135083007812,1489.5967297363281,1402.0999755859375,18,15,8.139999999999999
IDBI,0,25,3,0,92.48659973144531,95.59898124694824,75.05999755859375,18,15,8.139999999999999
LTTS,0,25,3,0,3412.412001953125,4044.6900061035158,3490.10009765625,18,15,8.139999999999999
TATAELXSI,0,25,3,0,4578.116010742187,5315.376502685547,4592.5,18,15,8.139999999999999
MAXHEALTH,0,25,3,0,1015.1299951171875,1117.2901919555663,1007.6500244140625,18,15,8.139999999999999
SYNGENE,0,25,3,0,422.4620013427734,588.2680006408691,436.6000061035156,18,15,8.139999999999999
RITES,0,25,3,0,206.83459289550783,236.24508193969726,221.9499969482422,18,15,8.139999999999999
JISLJALEQS,0,25,3,0,33.58439990997314,44.591950025558475,33.0099983215332,18,15,8.139999999999999
